trioTake;trio;take;startA;startB;startC;endA;endB;endC;startAll;endAll;promptTime;syncIndex;duration;type;number;pedalA;pedalB;pedalC;numberPedals;goalAchievementAll;goodEndAll;goodImproAll;goodEndA;goodEndB;goodEndC
305;3;5;7.33238095238095;15.9547845804989;36.607;178.567210884354;176.832154195011;199.348979591837;7.33238095238095;199.348979591837;161.794988662132;14.4328647014361;192.016598639456;2;2;0;0;0;3;37.5539909297052;1.52752523165195;4.33333333333333;6;3;4
405;4;5;5.31696145124717;8.71224489795918;7.09791383219955;187.831156462585;151.567573696145;189.340725623583;5.31696145124717;189.340725623583;148.824988662132;13.0942403628118;184.023764172336;1;2;0;0;0;3;40.5157369614512;2.08166599946613;5;2;6;5
505;5;5;7.53990929705215;11;8.023;204.605034013605;200.100272108844;195.154512471655;7.53990929705215;204.605034013605;168.234988662132;4.651761148904;197.065124716553;2;2;0;0;0;3;36.3700453514739;1.52752523165195;6;4;7;6
605;6;5;3.43024943310658;4.39904761904762;2.50634920634921;154.519863945578;150.96693877551;150.235600907029;2.50634920634921;154.519863945578;147.114988662132;2.61239606953893;152.013514739229;1;3;0;0;0;3;7.4048752834467;1.73205080756888;4.66666666666667;3;6;6
705;7;5;8.25428571428571;7.42018140589569;8.68630385487528;83.0592743764172;100.201315192744;82.7928798185941;7.42018140589569;100.201315192744;NA;11.5168253968254;92.7811337868481;0;0;0;0;0;3;NA;0.577350269189626;4.66666666666667;6;6;5
805;8;5;8.37102040816326;8.93274376417234;15.0707936507937;164.418367346939;164.847392290249;165.312335600907;8.37102040816326;165.312335600907;NA;0.452970521541952;156.941315192744;0;0;0;0;0;3;NA;0;4.33333333333333;6;6;6
905;9;5;5.82780045351474;5.378820861678;6.11814058956916;202.498820861678;202.869977324263;201.848299319728;5.378820861678;202.869977324263;147.224988662132;0.464278155706722;197.491156462585;2;3;0;0;0;3;55.6449886621315;0;4.66666666666667;4;4;4
1005;10;5;9.93047619047619;12.0277097505669;11.9149659863946;198.644580498866;197.878321995465;198.737369614512;9.93047619047619;198.737369614512;167.634988662132;0.317278911564614;188.806893424036;2;3;0;0;0;3;31.1023809523809;0.577350269189626;6;6;6;5
1105;11;5;15.0239002267574;15.850022675737;19.3580498866213;190.572925170068;199.754058956916;202.83306122449;15.0239002267574;202.83306122449;165.184988662132;5.11304610733182;187.809160997732;2;1;0;0;0;3;37.6480725623583;0.577350269189626;6;6;7;6
1205;12;5;6.65691609977324;6.52820861678005;6.09718820861678;184.376009070295;172.672607709751;191.944807256236;6.09718820861678;191.944807256236;164.554988662132;8.94699924414211;185.847619047619;1;2;0;0;0;3;27.3898185941043;1.73205080756888;5.66666666666667;6;3;6
106;1;6;49.738;45.6532879818594;21.0521995464853;212.493106575964;212.56693877551;205.687573696145;21.0521995464853;212.56693877551;170.444988662132;2.31773242630386;191.514739229025;1;1;0;0;0;3;42.1219501133787;3.46410161513775;5.33333333333333;7;1;7
206;2;6;14.528;43.4373242630385;13.6839455782313;182.977188208617;177.961587301587;200.861541950113;13.6839455782313;200.861541950113;168.464988662132;13.5947694633409;187.177596371882;2;3;0;0;0;3;32.3965532879818;1;4;3;4;5
306;3;6;22.890022675737;11.210566893424;10.5710204081633;204.075238095238;203.342902494331;212.538004535147;10.5710204081633;212.538004535147;169.124988662132;5.88595616024188;201.966984126984;1;2;0;0;0;3;43.4130158730159;0.577350269189626;4.33333333333333;6;6;5
406;4;6;10;5.69310657596372;7.2924716553288;154.723401360544;158.495827664399;164.871337868481;5.69310657596372;164.871337868481;155.224988662132;5.50781557067272;159.178231292517;1;3;0;0;0;3;9.64634920634921;0.577350269189626;6;7;6;6
506;5;6;10.1439909297052;22.2414965986395;1;182.595056689342;167.188072562358;182.315691609977;1;182.595056689342;172.194988662132;5.22878306878307;181.595056689342;1;2;0;0;0;3;10.4000680272109;1.52752523165195;5.66666666666667;6;3;5
606;6;6;6.03333333333333;6.26580498866213;10;106.185714285714;100.729115646259;108.537369614512;6.03333333333333;108.537369614512;NA;3.38663643235072;102.504036281179;0;0;0;0;0;3;NA;1.25830573921179;5;5;6;3.5
706;7;6;8.49174603174603;4.24340136054422;6.45936507936508;168.00022675737;180.853015873016;159.130385487528;4.24340136054422;180.853015873016;147.494988662132;11.5251398337113;176.609614512472;1;2;0;0;0;3;33.3580272108843;1.15470053837925;3.66666666666667;3;3;1
806;8;6;4.39705215419501;9.42761904761905;14.3145124716553;166.972562358277;171.047301587302;169.317233560091;4.39705215419501;171.047301587302;142.544988662132;1.93493575207861;166.650249433107;2;3;0;0;0;3;28.5023129251701;0.577350269189626;5.33333333333333;6;6;5
906;9;6;4.89691609977324;3.95006802721088;5.23015873015873;151.510702947846;151.313151927438;151.876870748299;3.95006802721088;151.876870748299;NA;0.309962207105068;147.926802721088;0;0;0;0;0;3;NA;1.73205080756888;5.33333333333333;6;6;3
1006;10;6;6.71777777777778;14.4541950113379;13.2120181405896;223.188798185941;217.964671201814;224.698367346939;6.71777777777778;224.698367346939;164.744988662132;2.74775510204081;217.980589569161;1;1;0;0;0;3;59.9533786848072;0.577350269189626;5.66666666666667;6;6;5
1106;11;6;11.9059863945578;4.97573696145125;10.0352380952381;153.544081632653;154.362222222222;159.476598639456;4.97573696145125;159.476598639456;140.244988662132;3.68229780801209;154.500861678005;1;3;0;0;0;3;19.2316099773242;0.577350269189626;5.33333333333333;5;6;5
1206;12;6;5;1;10.1888888888889;199.367936507937;199.287120181406;207.658095238095;1;207.658095238095;157.744988662132;5.55371126228268;206.658095238095;2;1;0;0;0;3;49.9131065759637;2.08166599946613;4.66666666666667;4;1;5
107;1;7;15.1575963718821;8.89383219954649;27;200.993242630385;187.060907029478;209.909977324263;8.89383219954649;209.909977324263;167.394988662132;10.5886016628874;201.016145124717;1;2;0;0;0;3;42.5149886621315;1.15470053837925;6.33333333333333;7;7;5
207;2;7;5.559410430839;8.72621315192744;10;152.625170068027;175.751609977324;158.251383219955;5.559410430839;175.751609977324;157.824988662132;13.5422222222222;170.192199546485;1;1;0;0;0;3;17.9266213151927;2.3094010767585;5.66666666666667;3;7;3
307;3;7;12.6353287981859;25.9710204081633;18.251;218.504444444444;217.987619047619;222.671972789116;12.6353287981859;222.671972789116;174.324988662132;2.95062736205594;210.03664399093;2;3;0;0;0;3;48.3469841269841;1.15470053837925;4.33333333333333;5;5;3
407;4;7;7.10689342403628;10;10.9132426303855;295.607210884354;253.416099773243;288.594149659864;7.10689342403628;295.607210884354;164.874988662132;16.4013907785336;288.500317460317;2;2;0;0;0;3;130.732222222222;0.763762615825973;5;6;4.5;5
507;5;7;0;24.8495691609977;5.10743764172336;195.879863945578;207.605215419501;210.212290249433;0;210.212290249433;158.774988662132;5.64650037792895;210.212290249433;2;1;0;0;0;3;51.4373015873016;2.51661147842358;5;2;7;4
607;6;7;4.88793650793651;6.31868480725624;5.05655328798186;165.383174603175;141.408662131519;157.500090702948;4.88793650793651;165.383174603175;153.134988662132;10.6191987906274;160.495238095238;2;3;0;0;0;3;12.2481859410431;1;5;4;5;6
707;7;7;9.02054421768707;9.07641723356009;8.42888888888889;180.322222222222;174.843673469388;177.884761904762;8.42888888888889;180.322222222222;173.444988662132;2.63866969009825;171.893333333333;1;1;0;0;0;3;6.8772335600907;0.577350269189626;4.33333333333333;3;4;3
807;8;7;6.92131519274376;6.25083900226757;7.11687074829932;157.047120181406;161.667619047619;161.935011337868;6.25083900226757;161.935011337868;153.844988662132;1.71842781557067;155.684172335601;1;3;0;0;0;3;8.09002267573695;0.577350269189626;4.83333333333333;4;4;3
907;9;7;4.59160997732426;4.92585034013605;6.75668934240363;157.263628117914;159.306984126984;158.122675736961;4.59160997732426;159.306984126984;146.794988662132;1.075888133031;154.71537414966;2;1;0;0;0;3;12.5119954648526;0.577350269189626;5.33333333333333;6;5;5
1007;10;7;41.696;44.036;7.37827664399093;231.636598639456;238.277505668934;255.414557823129;7.37827664399093;255.414557823129;151.304988662132;13.6383371126228;248.036281179138;2;2;0;0;0;3;104.109569160998;0.577350269189626;5.33333333333333;6;5;5
1107;11;7;9.04848072562358;9;8.20639455782313;224.509795918367;227.766394557823;235.385079365079;8.20639455782313;235.385079365079;166.984988662132;6.16465608465609;227.178684807256;1;1;0;0;0;3;68.4000907029479;1.15470053837925;6.33333333333333;5;5;7
1207;12;7;22.0549206349206;4.20548752834467;4.35714285714286;190.867256235828;186.245759637188;193.362585034014;4.20548752834467;193.362585034014;160.964988662132;3.20405139833713;189.157097505669;2;3;0;0;0;3;32.3975963718821;1.73205080756888;4;6;3;6
108;1;8;10.3285714285714;29;11;212.455192743764;232.781995464853;182.443401360544;10.3285714285714;232.781995464853;164.784988662132;23.5551322751323;222.453424036281;1;2;0;0;0;3;67.9970068027211;1.15470053837925;6;7;7;5
208;2;8;14.9600453514739;61.858;22.6675283446712;394.234058956916;384.557052154195;380.661904761905;14.9600453514739;394.234058956916;151.294988662132;7.74972033257749;379.274013605442;2;1;0;0;0;3;242.939070294785;1.52752523165195;5.33333333333333;4;7;6
308;3;8;7.64467120181406;21.7057142857143;20;166.626349206349;184.133560090703;180.429977324263;7.64467120181406;184.133560090703;153.044988662132;7.07026455026456;176.488888888889;1;3;0;0;0;3;31.0885714285714;0.577350269189626;5;5;6;6
408;4;8;4.35614512471655;1.32702947845805;8.04675736961451;332.501360544218;326.882131519274;180.184535147392;1.32702947845805;332.501360544218;139.964988662132;52.6453514739229;331.17433106576;1;1;0;0;0;3;192.536371882086;0.288675134594813;5.5;6;5.5;6
508;5;8;15.410022675737;15.9597732426304;15.7422675736961;179.286575963719;169.046848072562;165.931927437642;15.410022675737;179.286575963719;159.994988662132;7.86479213907786;163.876553287982;1;3;0;0;0;3;19.2915873015873;2;5.66666666666667;3;7;5
608;6;8;3.23868480725624;3.19179138321995;3.52503401360544;181.270068027211;164.506167800454;177.949614512472;3.19179138321995;181.270068027211;164.114988662132;6.69478458049887;178.078276643991;2;2;0;0;0;3;17.1550793650794;1;5.33333333333333;6;5;4
708;7;8;6.3087074829932;4.6265306122449;5.72403628117914;174.960408163265;176.224535147392;174.773832199546;4.6265306122449;176.224535147392;152.584988662132;0.904943310657596;171.598004535147;1;3;0;0;0;3;23.6395464852608;2.08166599946613;6.33333333333333;5;2;6
808;8;8;3.30852607709751;4.32521541950113;12.881768707483;178.31179138322;180.587619047619;182.212925170068;3.30852607709751;182.212925170068;159.364988662132;1.84214663643235;178.904399092971;2;2;0;0;0;3;22.8479365079365;1;5.66666666666667;5;4;6
908;9;8;6.57310657596372;6.31668934240363;5.23614512471655;127.247845804989;132.763310657596;132.444036281179;5.23614512471655;132.763310657596;142.714988662132;1.94491307634165;127.52716553288;1;1;0;0;0;3;-9.95167800453515;2.08166599946613;4;4;5;1
1008;10;8;11.0708843537415;23.2232653061224;22.1457142857143;206.111609977324;205.50798185941;184.888843537415;11.0708843537415;206.111609977324;169.634988662132;7.27546485260771;195.040725623583;1;2;0;0;0;3;36.4766213151927;1.15470053837925;5.33333333333333;5;3;5
1108;11;8;69.153;18;22.1766439909297;241.189886621315;241.822448979592;242.815192743764;18;242.815192743764;173.564988662132;0.87268329554045;224.815192743764;2;3;0;0;0;3;69.2502040816327;1;6;5;7;6
1208;12;8;8.08068027210884;9.12829931972789;11.7822675736961;200.926394557823;201.872244897959;202.133650793651;8.08068027210884;202.133650793651;171.824988662132;0.489554043839756;194.052970521542;1;1;0;0;0;3;30.3086621315193;1;5.16666666666667;5;4;3
109;1;9;8.4827664399093;57.5721995464853;25.0052154195011;171.030340136054;178.998231292517;187.380181405896;8.4827664399093;187.380181405896;170.284988662132;8.24393046107331;178.897414965986;1;3;0;0;0;3;17.0951927437642;0.577350269189626;3.66666666666667;3;4;4
209;2;9;0;5;13.1192290249433;177.867800453515;220.081859410431;183.005124716553;0;220.081859410431;165.494988662132;26.4302645502645;220.081859410431;1;2;0;0;0;3;54.5868707482993;2.17944947177034;4.66666666666667;3;7;3.5
309;3;9;5.04857142857143;7.59777777777778;27.605306122449;180.450929705215;204.256825396825;211.826621315193;5.04857142857143;211.826621315193;154.084988662132;12.9818291761149;206.778049886621;1;1;0;0;0;3;57.7416326530612;1;5.66666666666667;5;7;6
409;4;9;19.3231292517007;14.4531972789116;15.4060317460317;216.162766439909;209.440045351474;219.227800453515;14.4531972789116;219.227800453515;170.914988662132;4.28426303854875;204.774603174603;2;3;0;0;0;3;48.3128117913832;1.15470053837925;4.66666666666667;4;6;4
509;5;9;16.7120634920635;22.3472562358277;24.5871655328798;196.439591836735;185.65410430839;188.731111111111;16.7120634920635;196.439591836735;167.304988662132;6.16465608465609;179.727528344671;1;1;0;0;0;3;29.1346031746032;1.52752523165195;5.33333333333333;5;7;4
609;6;9;2.7907029478458;22.0040362811791;10.6757823129252;195.990612244898;190.74253968254;202.022902494331;2.7907029478458;202.022902494331;155.124988662132;5.77088435374151;199.232199546485;2;1;0;0;0;3;46.8979138321995;1.52752523165195;5;5;4;7
709;7;9;19.4159183673469;5.35786848072562;7.59977324263039;224.963764172336;193.709795918367;221.85283446712;5.35786848072562;224.963764172336;144.514988662132;11.4549659863946;219.60589569161;2;1;0;0;0;3;80.4487755102041;1.52752523165195;5;2;3;5
809;8;9;12.2432199546485;4.71233560090703;8.16648526077097;181.321950113379;180.858004535147;161.005124716553;4.71233560090703;181.321950113379;147.974988662132;6.92692365835222;176.609614512472;1;2;0;0;0;3;33.3469614512472;1.52752523165195;4.83333333333333;2;5;3
909;9;9;11;8.84893424036281;9.21310657596372;202.406031746032;199.480680272109;198.424081632653;8.84893424036281;202.406031746032;173.124988662132;2.30243386243385;193.557097505669;2;2;0;0;0;3;29.2810430839002;1;4.66666666666667;4;5;6
1009;10;9;9.8546485260771;10.6348752834467;9.47251700680272;169.548707482993;178.975283446712;171.452380952381;9.47251700680272;178.975283446712;144.964988662132;5.64982615268329;169.502766439909;1;3;0;0;0;3;34.0102947845805;1.15470053837925;5.66666666666667;3;5;5
1109;11;9;8.11460317460318;11.571746031746;8.78607709750567;144.277142857143;147.423990929705;148.271065759637;8.11460317460318;148.271065759637;NA;1.61366591080878;140.156462585034;0;0;0;0;0;3;NA;2.3094010767585;5.33333333333333;3;7;7
1209;12;9;12.3968707482993;7.10489795918367;6.97718820861678;202.80612244898;194.842222222222;194.714512471655;6.97718820861678;202.80612244898;151.014988662132;5.35183673469387;195.828934240363;2;2;0;0;0;3;51.7911337868481;1;5;6;4;5
110;1;10;10.2956462585034;6.77764172335601;0;158.332199546485;179.542993197279;159.644217687075;0;179.542993197279;149.564988662132;13.7031897203326;179.542993197279;1;3;0;0;0;3;29.9780045351474;0;4.66666666666667;6;6;6
210;2;10;12.7660317460317;37;25.14589569161;194.864172335601;186.69074829932;187.062902494331;12.7660317460317;194.864172335601;166.714988662132;5.32489795918367;182.098140589569;2;2;0;0;0;3;28.1491836734694;1.15470053837925;5.66666666666667;4;4;6
